R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.02,0.03,0,0.04,0.07,0.08,0.05,0.04,0.04,0.04,0.07,0.07,0.04,0.04,0.06,0.05,0.03,0.02,Bacteria,Planctomycetota,Rubripirellula
0.02,0.01,0.17,0.03,0,0,0.05,0.1,0.29,0.07,0.04,0,0,0,0,0,0,0,Bacteria,Spirochaetota,Sediminispirochaeta
0.03,0.01,0.02,0.07,0.11,0.02,0.05,0.02,0.02,0.05,0.02,0.01,0.06,0.02,0.06,0.07,0.06,0.06,Bacteria,Bacteroidota,Pseudofulvibacter
0,0,0,0,0.01,0,0.05,0.02,0.03,0.02,0.07,0.23,0.01,0.03,0,0,0.29,0,Bacteria,Bacteroidota,Tamlana
0.01,0.03,0,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.08,0.1,0.07,0.11,0.08,Bacteria,Actinobacteriota,Microbacterium
0.12,0.11,0.06,0.11,0.07,0.23,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,Bacteria,Bacteroidota,Bacteroidota
0.02,0.03,0.04,0.05,0.09,0.09,0.06,0.02,0.07,0.07,0.09,0.1,0,0,0,0.01,0,0,Bacteria,Proteobacteria,UBA10353 marine group
0.02,0.01,0,0.01,0.08,0.02,0.02,0.01,0,0.05,0.06,0.04,0.17,0.1,0.1,0.05,0,0,Bacteria,Verrucomicrobiota,Arctic95B-14
0.08,0.08,0.06,0.09,0.13,0.05,0.05,0.01,0.02,0.03,0.04,0.05,0.01,0,0.01,0.01,0,0.01,Bacteria,Acidobacteriota,Subgroup 10
0.01,0.01,0.04,0.05,0.1,0.11,0.02,0.01,0.02,0.03,0.03,0.06,0.01,0.07,0.01,0.01,0.02,0.11,Bacteria,Proteobacteria,Pseudobowmanella
0.05,0.03,0.02,0.08,0.03,0.08,0.05,0.02,0.01,0.02,0.01,0.02,0.06,0.11,0.05,0.07,0,0.01,Bacteria,Proteobacteria,Lentilitoribacter
0.03,0.06,0.01,0.02,0,0.02,0.1,0.03,0.1,0.05,0.23,0.04,0.01,0,0,0,0,0,Bacteria,Verrucomicrobiota,Candidatus Omnitrophus
0.01,0.01,0,0.01,0,0,0.01,0.01,0.02,0.04,0,0.02,0.07,0.17,0.07,0.09,0.01,0.13,Bacteria,Proteobacteria,Samsonia
0.11,0.11,0.13,0.04,0.07,0.08,0.01,0.03,0.02,0.04,0.02,0,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia UCG-014
0,0,0,0,0,0,0.11,0.05,0.07,0.09,0.15,0.19,0,0,0,0,0,0,Bacteria,Proteobacteria,Fokiniaceae
0.02,0,0.01,0.01,0.02,0.03,0,0.01,0,0.01,0.01,0.01,0.06,0.18,0.06,0.03,0.04,0.16,Bacteria,Proteobacteria,Litorilituus
0.04,0.13,0.09,0.07,0.09,0.11,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.05,0.01,0,0,Bacteria,Proteobacteria,Psychrobium
0,0.02,0,0.05,0.01,0.03,0.08,0.02,0.01,0.03,0.06,0.13,0,0,0,0.01,0.17,0.01,Bacteria,Bacteroidota,Ekhidna
0.01,0,0,0.02,0.03,0.03,0.01,0,0.01,0.01,0.01,0.04,0.06,0.09,0.05,0.17,0.02,0.07,Bacteria,Proteobacteria,Proteobacteria
0.04,0.01,0,0.03,0.01,0.02,0.01,0,0,0,0.01,0,0.19,0.07,0.1,0.08,0,0.06,Bacteria,Verrucomicrobiota,Pelagicoccus
0.06,0.16,0.07,0.18,0.02,0.08,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,Bacteria,Firmicutes,Lactobacillales
0,0,0,0,0.05,0.03,0,0,0,0,0,0,0.04,0.11,0.02,0.04,0.05,0.28,Bacteria,Bacteroidota,Actibacter
0.06,0.02,0,0.07,0.13,0.08,0.02,0.01,0.02,0.05,0.07,0.02,0.01,0,0.01,0.03,0,0.01,Bacteria,Bdellovibrionota,Bdellovibrio
0.06,0.09,0.03,0.11,0.1,0.15,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0.01,Bacteria,Proteobacteria,C1-B045
0.02,0.02,0,0.01,0,0.01,0.05,0.03,0.07,0.07,0.12,0.07,0.02,0.04,0.01,0.03,0,0.04,Bacteria,Proteobacteria,Profundibacterium
0.07,0.05,0.01,0.04,0.03,0.07,0.13,0.01,0.01,0.05,0.09,0,0,0,0,0,0.02,0.01,Bacteria,Proteobacteria,Nitrosospira
0,0,0.01,0,0,0,0.42,0,0,0.01,0.01,0.07,0,0.01,0,0,0.06,0,Bacteria,Proteobacteria,Maribius
0.11,0.06,0.05,0.1,0.03,0.08,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0,0.04,0,Bacteria,Proteobacteria,OM182 clade
0.07,0.2,0.08,0.11,0.05,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Photobacterium
0.01,0.03,0.19,0.05,0,0.02,0.01,0.19,0.01,0.03,0.02,0,0,0,0,0,0,0.01,Bacteria,Firmicutes,Anaerovoracaceae
0.06,0.01,0.01,0.02,0.03,0.02,0.09,0.05,0.06,0.1,0.06,0,0,0,0.03,0.03,0,0,Bacteria,Patescibacteria,Saccharimonadales
0,0,0,0,0,0.01,0.17,0.05,0.01,0.15,0.09,0.04,0,0.01,0,0,0.02,0,Bacteria,Proteobacteria,Sphingomonadaceae
0,0,0,0,0,0.01,0.01,0,0,0,0,0.1,0,0,0,0,0.43,0,Bacteria,Proteobacteria,Cognatishimia
0.01,0.02,0.01,0.02,0.07,0.02,0.01,0,0,0.01,0,0,0.03,0.05,0.1,0.06,0.01,0.11,Bacteria,Bacteroidota,Kapabacteriales
0.01,0,0.01,0,0.1,0.02,0.04,0.02,0.04,0.05,0.08,0.06,0.01,0.01,0.01,0.03,0.03,0,Bacteria,Bacteroidota,Fabibacter
0,0.01,0,0.07,0.03,0.03,0.03,0.01,0.03,0,0.03,0.14,0.01,0,0.02,0.01,0.09,0.01,Bacteria,Desulfobacterota,PB19
0,0,0,0,0,0.01,0.02,0.02,0.01,0.01,0.02,0.24,0.04,0.04,0.05,0.04,0,0.01,Bacteria,Fibrobacterota,possible genus 06
0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.09,0.14,0.1,0,0.11,Bacteria,Bacteroidota,Flavicella
0.01,0.03,0.02,0.03,0,0.07,0.02,0.03,0.05,0.07,0.03,0.02,0.04,0.03,0.01,0,0.02,0.02,Bacteria,Proteobacteria,Filomicrobium
0,0,0.01,0,0.03,0.01,0,0.01,0,0.01,0,0.05,0.05,0.04,0.06,0.01,0.14,0.07,Bacteria,Bacteroidota,Bizionia
0.16,0.06,0.03,0.1,0.07,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,Bacteria,Proteobacteria,Kiloniella
0,0,0,0,0,0.02,0.08,0.02,0.03,0.07,0.06,0.04,0.01,0.02,0.05,0,0.07,0.01,Bacteria,Planctomycetota,SM1A02
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.26,0.07,0.09,0,0.05,Bacteria,Bacteroidota,Garritya
0.1,0.1,0.05,0.07,0.08,0.02,0.02,0,0.01,0.02,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Candidatus Peribacteria
0.05,0.09,0.01,0.04,0.03,0.08,0.04,0.01,0.01,0,0.03,0.02,0.01,0.03,0.02,0,0,0,Bacteria,Verrucomicrobiota,Methylacidiphilaceae
0.06,0.01,0.01,0.07,0.01,0.05,0.03,0.01,0.03,0.04,0.01,0.01,0.08,0,0,0.02,0.02,0.01,Bacteria,Proteobacteria,Salinisphaera
0.02,0.02,0.01,0.06,0.19,0.07,0,0,0,0,0,0,0.01,0.02,0.01,0.02,0.02,0.02,Bacteria,Bacteroidota,Schleiferia
0,0,0,0,0,0,0.01,0,0.01,0.03,0.01,0,0.08,0.1,0.1,0.11,0,0.02,Bacteria,Bacteroidota,Cytophagales
0.01,0.01,0,0.01,0,0.02,0.01,0.02,0.02,0.02,0.03,0,0.1,0.04,0.06,0.11,0,0.01,Bacteria,Proteobacteria,Candidatus Endoecteinascidia
0.01,0.02,0.02,0.04,0.01,0.05,0.03,0.06,0.02,0.01,0.01,0.07,0.02,0.01,0.03,0.02,0.01,0.02,Bacteria,Proteobacteria,Catenococcus
0.06,0.17,0.05,0.03,0.01,0.07,0,0.01,0,0,0.01,0,0,0.01,0.01,0.02,0,0,Bacteria,Firmicutes,Mycoplasmataceae
0,0,0.02,0.01,0,0,0.04,0,0.01,0.02,0.01,0.11,0.05,0.01,0.01,0.01,0.14,0.01,Bacteria,Bacteroidota,Cryomorpha
0,0,0,0,0.01,0.01,0.09,0.01,0.05,0.03,0.11,0.02,0,0.03,0.06,0.02,0.01,0,Bacteria,Proteobacteria,[Caedibacter] taeniospiralis group
0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.08,0.04,0.1,0.18,0.01,0.01,Bacteria,Proteobacteria,Enterobacteriaceae
0.03,0.04,0.04,0.19,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Fibrobacterota,possible genus 03
0.02,0.03,0.03,0.06,0.02,0.01,0.02,0,0,0,0,0,0.07,0.02,0.04,0.05,0.03,0.01,Archaea,Nanoarchaeota,SCGC AAA286-E23
0.03,0.01,0.08,0.06,0.05,0.07,0.02,0.02,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0,Bacteria,Desulfobacterota,Desulfobulbales
0.02,0.04,0,0.02,0.04,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.04,0.04,0.05,0.02,0.01,Bacteria,Bacteroidota,Spongiimonas
0.04,0,0,0.02,0,0.02,0.03,0,0.01,0,0,0.07,0,0.02,0,0,0.17,0,Bacteria,Proteobacteria,Maritalea
0.01,0.01,0.01,0.02,0.05,0.01,0.02,0,0.01,0.01,0,0.04,0.04,0.03,0.05,0.01,0,0.04,Bacteria,Proteobacteria,Aquimixticola
0.1,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0.1,0.01,0,0.03,0,0.01,Bacteria,Bacteroidota,Mesonia
0,0.08,0.04,0.02,0.07,0.06,0,0,0,0,0,0,0.04,0,0,0.01,0,0.01,Bacteria,Acidobacteriota,Acanthopleuribacter
0.01,0,0.01,0,0.01,0.02,0.08,0.03,0.03,0.06,0.07,0.01,0,0,0,0,0,0,Bacteria,Patescibacteria,Parcubacteria
0.01,0.04,0,0.02,0.02,0.02,0.05,0.03,0.02,0.02,0.04,0.05,0,0,0.01,0,0,0,Bacteria,Sumerlaeota,Sumerlaea
0.06,0.04,0.03,0.01,0.04,0.08,0,0,0,0,0.01,0.01,0,0.02,0.02,0,0,0,Bacteria,Bacteroidota,Portibacter
0.01,0.03,0.03,0.05,0.06,0.05,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.04,0.01,Bacteria,Planctomycetota,Bythopirellula
0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.09,0.03,0.02,0.03,0.13,Bacteria,Bacteroidota,Aurantivirga
0,0.02,0.01,0.01,0.03,0.03,0.01,0.01,0.02,0.03,0.04,0,0.02,0.02,0.03,0.03,0,0.01,Bacteria,Proteobacteria,Pseudoalteromonadaceae
0.02,0,0.01,0.03,0.06,0,0.03,0.01,0,0.03,0.06,0,0.02,0.03,0,0.01,0,0,Bacteria,Proteobacteria,Limnobacter
0.08,0.01,0.02,0.01,0.02,0,0.01,0.01,0,0.02,0,0,0.03,0.01,0.01,0,0.06,0.02,Bacteria,Proteobacteria,Alcanivorax
0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.03,0,0,0.23,0.02,Bacteria,Proteobacteria,Pseudophaeobacter
0.17,0.01,0.01,0.03,0.04,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,Bacteria,Firmicutes,Bacilli
0.02,0.06,0.03,0.01,0.07,0.02,0,0.01,0.01,0.01,0.02,0,0,0.01,0.02,0.01,0,0,Bacteria,Proteobacteria,Defluviicoccales
0,0,0,0,0,0,0.23,0.02,0,0.01,0.04,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Limimaricola
0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.03,0.06,0.01,0.03,0.03,0.12,Bacteria,Proteobacteria,Thiotrichaceae
0,0,0,0.01,0,0,0.08,0.05,0.01,0.07,0.06,0,0.01,0,0,0,0,0,Bacteria,Proteobacteria,Stenotrophomonas
0.01,0,0.01,0,0,0.04,0.02,0.02,0.01,0.03,0.03,0.05,0.03,0.01,0,0,0.03,0,Bacteria,Proteobacteria,Thalassomonas
0,0,0,0,0,0,0.05,0.03,0.08,0.02,0.02,0.08,0.01,0,0,0,0,0,Bacteria,Proteobacteria,Spongiispira
0,0.01,0,0,0.08,0,0.01,0,0.01,0.03,0.04,0,0.02,0.01,0.03,0.03,0,0.01,Bacteria,Bacteroidota,Rhodothermaceae
0,0.01,0,0,0.01,0.02,0,0,0.01,0.01,0,0.04,0,0,0,0,0.18,0,Bacteria,Proteobacteria,Arenicellaceae
0.02,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.09,0.05,0.02,0,0.05,Bacteria,Proteobacteria,Yersiniaceae
0.01,0.02,0,0.01,0.03,0.03,0.01,0.02,0.03,0.02,0.01,0.01,0,0.04,0.01,0,0,0.01,Bacteria,Proteobacteria,Roseicitreum
0.02,0.01,0.12,0.02,0,0,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,Bacteria,Firmicutes,Dethiosulfatibacter
0,0.04,0.01,0,0.02,0,0.02,0,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.01,Bacteria,Verrucomicrobiota,Cerasicoccus
0.06,0.1,0,0.05,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,Bacteria,Proteobacteria,Candidatus Paraholospora
0,0.01,0,0,0,0.01,0.04,0.01,0.03,0.08,0.02,0.02,0.01,0,0.01,0,0,0,Bacteria,Bacteroidota,Rubricoccus
0.02,0.02,0.05,0.11,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,UCG-010
0.01,0,0,0,0,0.02,0.05,0.02,0.01,0.03,0.03,0.06,0,0,0,0,0,0,Bacteria,Proteobacteria,Parvularculaceae
0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.08,0,0,0,0,0.11,0,Bacteria,Bacteroidota,Aurantiacicella
0.02,0.03,0.04,0.02,0.03,0.05,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,Bacteria,Firmicutes,RF39
0.02,0.01,0,0.01,0,0.02,0.01,0,0,0,0,0,0,0.04,0.05,0,0,0.05,Bacteria,Bacteroidota,Lewinella
0,0,0,0,0,0,0.02,0.01,0,0.01,0.01,0.02,0,0.02,0.01,0.03,0.02,0.05,Bacteria,Firmicutes,Candidatus Bacilloplasma
0.01,0.01,0.03,0,0.03,0,0.04,0,0.01,0.02,0.01,0,0.01,0,0.01,0.01,0,0,Bacteria,Bacteroidota,Sphingobacteriales
0.02,0.03,0,0,0.01,0.01,0.01,0.02,0.02,0.04,0,0,0.01,0,0.02,0,0,0,Bacteria,Planctomycetota,Pirellula
0.02,0,0,0,0,0,0.01,0.01,0.01,0.03,0.09,0,0,0.02,0,0,0,0,Bacteria,Dependentiae,Babeliales
0.01,0.04,0.03,0.01,0,0.02,0.02,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Candidatus Captivus
0.06,0.03,0,0.01,0,0.02,0.04,0.01,0,0.01,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Granulosicoccales
0,0,0,0.02,0,0,0.01,0,0.12,0.01,0.01,0.01,0,0,0,0,0,0,Bacteria,Spirochaetota,V2072-189E03
0,0,0,0.01,0,0.02,0.04,0,0.06,0.01,0.02,0,0.01,0.01,0,0,0,0,Bacteria,Desulfobacterota,Algorimarina
0.01,0,0.06,0,0.03,0.02,0,0.05,0.01,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Monoglobus
0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.06,0.08,0,0.01,Bacteria,Proteobacteria,Mitochondria
0.02,0,0.02,0.02,0.04,0.03,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,Bacteria,Proteobacteria,FS142-36B-02
0,0,0,0.01,0.01,0.02,0.02,0.01,0,0.01,0.02,0.06,0,0,0,0.01,0,0,Bacteria,Bacteroidota,Marinilabiliaceae
0,0,0,0,0,0,0.03,0.01,0,0.03,0.02,0.07,0,0,0,0,0,0,Bacteria,Cyanobacteria,Phormidesmis ANT.LACV5.1
0,0,0,0,0,0,0.04,0.02,0.03,0.02,0.04,0.01,0,0,0,0,0,0,Bacteria,Patescibacteria,Candidatus Campbellbacteria
0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Escherichia-Shigella
0,0,0,0.01,0,0,0.02,0.01,0.02,0.02,0.06,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Planctomycetes
0,0.03,0.01,0.05,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Dependentiae,UBA12409
0.01,0,0,0.01,0,0,0.02,0.01,0,0.01,0.01,0.04,0,0,0,0,0,0.01,Bacteria,Proteobacteria,Litorisediminicola
0,0,0,0,0,0,0.02,0.01,0.01,0.03,0.04,0.01,0,0,0,0,0,0,Bacteria,Firmicutes,Exiguobacterium
0.01,0.03,0.04,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Firmicutes
0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0.05,0,Bacteria,Actinobacteriota,Gaiellales
0.01,0.01,0.01,0.02,0.02,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.01,Bacteria,Bacteroidota,Microscilla
0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Paramaledivibacter
0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0.01,0,0.03,Bacteria,Proteobacteria,Allofrancisella
0,0,0,0,0,0,0.02,0.01,0,0.03,0.03,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Erythrobacter
0,0.01,0,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Cavicella
0,0,0,0.01,0,0.02,0,0,0,0.01,0,0,0.01,0.01,0.03,0,0,0,Bacteria,Proteobacteria,Legionellaceae
0,0,0,0,0,0,0.02,0,0.01,0.03,0.01,0.02,0,0,0,0,0,0,Bacteria,Myxococcota,Sandaracinus
0.03,0.02,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Staphylococcus
0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.04,0,0,0.01,0,0,Bacteria,Verrucomicrobiota,SCGC AAA164-E04
0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.01,Bacteria,Spirochaetota,Turneriella
0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0,0,0.03,Bacteria,Planctomycetota,Algisphaera
0,0.01,0.01,0.03,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,Bacteria,Firmicutes,Candidatus Hepatoplasma
0.01,0,0.01,0.02,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,Bacteria,Bdellovibrionota,Pseudobacteriovorax
0.01,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,Bacteria,Proteobacteria,Candidatus Ovatusbacter
0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.01,0,0,Bacteria,Bacteroidota,holmesii
0,0,0,0,0,0.02,0,0,0.01,0.03,0.01,0,0,0,0,0,0,0,Bacteria,Desulfobacterota,Candidatus Desulfamplus
0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Campylobacterota,Campylobacterales
0.01,0.01,0,0,0,0,0,0.01,0,0,0.02,0.01,0,0,0,0,0,0,Bacteria,Chloroflexi,SBR1031
0.04,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,SAR324 clade(Marine group B),SAR324 clade(Marine group B)
0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0.01,0,0,Bacteria,Verrucomicrobiota,Verrucomicrobiota
0.02,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,Bacteria,Desulfobacterota,Desulfocapsaceae
0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0.01,0.01,0,Bacteria,Myxococcota,Polyangia
0,0.03,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Blfdi19
0,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Pseudohalocynthiibacter
0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Calditrichota,Calorithrix
0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Verruc-01
0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0,Bacteria,Proteobacteria,Vadicella
0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,Bacteria,Sumerlaeota,Sumerlaeia
0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,Bacteria,Proteobacteria,Aestuariivita
0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteriota
0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,Bacteria,Proteobacteria,Fretibacter
0,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,Bacteria,Bacteroidota,Prolixibacteraceae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,Bacteria,Proteobacteria,Chromatocurvus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,Bacteria,Bacteroidota,Litoribaculum
0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Methyloligella
0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,XY-R5
0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfovibrionales
0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Lactobacillus
0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Pseudopelagicola
0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Thermostilla
0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Albimonas
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Hwanghaeicola
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,Bacteria,Desulfobacterota,Desulfopila
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,Bacteria,Actinobacteriota,Nocardioides
0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Pirellulaceae
0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,Bacteria,Firmicutes,Streptococcus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Sphingopyxis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Caulobacteraceae